key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
22592969,Observations during development of an internal medicine residency training program in cardiovascular limited ultrasound examination,2012,1,1,J Hosp Med,1553-5592,7,7,537-42,"Kimura, B. J. and Amundson, S. A. and Phan, J. N. and Agan, D. L. and Shaw, D. J.",,eng,,,"BACKGROUND: Despite the future potential of using ultrasound stethoscopes to augment the bedside cardiac physical, few data exist on a general cardiovascular imaging protocol that can be taught to physicians on a perpetual basis as a curriculum in graduate medical education. METHODS: During the past decade, we developed and integrated a cardiovascular limited ultrasound training program within the confines of an internal medicine residency. The evidence-based rationale for the exam, the teaching methods, and curriculum are delineated, and subsequent observations regarding program requirements, proficiency, and academic outcomes are explored. Analysis of variance and linear regression assessed for relationships between academic scores, chief resident selection, and gender to proficiency in ultrasound. RESULTS: A brief, 5-minute cardiovascular limited ultrasound exam (CLUE) was taught using both didactic and bedside methods, and practiced primarily within the cardiology consult, outpatient clinic, and intensive care rotations. Program costs were minimized by employing readily available institutional resources. After a 2-year lead-in training phase, the subsequent 4 years of senior resident performance (n = 41 residents) showed an 81% pass rate in CLUE competency. Resident ultrasound performance did not relate to academic scores (r = 0.05, P = 0.75), chief resident selection, nor gender. Observations regarding resident pitfalls in CLUE practice and increased participation in extracurricular research are described. CONCLUSIONS: We report our initial experience in developing and implementing a training program for bedside cardiovascular ultrasound examination that employed evidence-based techniques, set proficiency goals, and assessed resident performance. It may be feasible to teach future internist-hospitalists the technique of bedside ultrasound during residency.","
1553-5606     Kimura, Bruce J     Amundson, Stan A     Phan, James N     Agan, Donna L     Shaw, David J     Journal Article     United States     J Hosp Med. 2012 Sep;7(7):537-42. doi: 10.1002/jhm.1944. Epub 2012 May 16.
Kimura, Bruce J     Amundson, Stan A     Phan, James N     Agan, Donna L     Shaw, David J     eng     J Hosp Med. 2012 Sep;7(7):537-42. doi: 10.1002/jhm.1944. Epub 2012 May 16.
Kimura, Bruce J     Amundson, Stan A     Phan, James N     Agan, Donna L     Shaw, David J     eng     J Hosp Med. 2012 Sep;7(7):537-42. doi: 10.1002/jhm.1944. Epub 2012 May 16.
Kimura, Bruce J     Amundson, Stan A     Phan, James N     Agan, Donna L     Shaw, David J     eng     J Hosp Med. 2012 Sep;7(7):537-42. doi: 10.1002/jhm.1944. Epub 2012 May 16. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong population"
rayyan-2766264,Introducing a clinical pathway for acute peptic ulcer bleeding in general internal medicine wards,2008,1,1,Scand J Gastroenterol,0036-5521 (Print) 0036-5521,43,10,1169-76,"Lee, T. Y. and Chan, T. and Chang, C. S. and Lan, J. L.",,eng,,,"OBJECTIVE: Management of acute peptic ulcer bleeding (PUB) is expensive and there is little evidence to prove the cost-effectiveness of a clinical pathway. The purpose of this study was to introduce a clinical pathway in hospitalized patients with acute PUB to evaluate its impact on costs and other outcomes. MATERIAL AND METHODS: The clinical pathway was designed for and implemented in hospitalized patients, and a physicians reminder system that included chief residents, checklists, and case review meetings was also utilized. Use of medicine for acid suppression, length of hospital stay (LOS), and treatment costs were compared between patients before and after implementation of the clinical pathway. Outcome measures included the rate of recurrent bleeding, rate of repeat upper gastrointestinal (UGI) endoscopy, and rate of readmission within 30 days of discharge. RESULTS: This clinical pathway significantly reduced the use of intravenous medicine for acid suppression from 88% to 34%, with mean LOS down from 6.7 to 3.6 days, mean cost of medications decreased from New Taiwan Dollars (NTD) 8768 to NTD 3940 (cost down 55.1%), mean cost of diagnostic tests lowered from NTD 12,560 to NTD 9493 (cost down 24.4%), and mean total hospital cost down from NTD 33,142 to NTD 19,519 (cost down 41.1%). Outcome measures were not significantly different. CONCLUSIONS: Introduction of a clinical pathway is an effective method for reducing costs while maintaining quality of care in the management of PUB.","
1502-7708     Lee, Teng-Yu     Chan, Tam     Chang, Chi-Sen     Lan, Joung-Liang     Comparative Study     Journal Article     England     Scand J Gastroenterol. 2008;43(10):1169-76. doi: 10.1080/00365520802130191.
Lee, Teng-Yu     Chan, Tam     Chang, Chi-Sen     Lan, Joung-Liang     eng     Comparative Study     England     Scand J Gastroenterol. 2008;43(10):1169-76. doi: 10.1080/00365520802130191.
Lee, Teng-Yu     Chan, Tam     Chang, Chi-Sen     Lan, Joung-Liang     eng     Comparative Study     England     Scand J Gastroenterol. 2008;43(10):1169-76. doi: 10.1080/00365520802130191.
Lee, Teng-Yu     Chan, Tam     Chang, Chi-Sen     Lan, Joung-Liang     eng     Comparative Study     England     Scand J Gastroenterol. 2008;43(10):1169-76. doi: 10.1080/00365520802130191. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong population,wrong outcome"
rayyan-3192621,Who's teaching neonatal resuscitation to housestaff? Results of a national survey,2001,1,1,Pediatrics,,107,2,249-55,"Halamek, L. P. and Kaegi, D. M.",,Eng,,,"OBJECTIVE: This study was designed to investigate current patterns of training in neonatal resuscitation in US residency programs in general pediatrics. METHODS: A questionnaire was mailed to the chief residents and directors of all US residency programs in general pediatrics to determine who provides supervision and teaching of neonatal resuscitation in the delivery room and neonatal intensive care unit. This questionnaire also inquired as to the use within these residency programs of standardized resuscitation training courses such as Pediatric Advanced Life Support and Neonatal Resuscitation Program. RESULTS: Residents in their third and second years of training are most often cited as responsible for supervision and teaching of neonatal resuscitation in the delivery room, whereas attending neonatologists are cited most frequently as being responsible for these tasks in the neonatal intensive care unit. Pediatric Advanced Life Support is required by virtually all US residency programs, followed in frequency by Neonatal Resuscitation Program and Advanced Cardiac Life Support. CONCLUSIONS: Because those in training collectively provide much of the supervision and teaching of neonatal resuscitation, vigilance is required so that appropriate resuscitation skills are developed and maintained. Objective performance markers may be useful in assessing competency in caring for sick newborns.neonatal resuscitation, delivery room, Neonatal Resuscitation Program, Pediatric Advanced Life Support, Advanced Cardiac Life Support.","
1098-4275     Halamek, L P     Kaegi, D M     Journal Article     United States     Pediatrics. 2001 Feb;107(2):249-55.
Halamek, L P     Kaegi, D M     eng     Pediatrics. 2001 Feb;107(2):249-55.
Halamek, L P     Kaegi, D M     eng     Pediatrics. 2001 Feb;107(2):249-55.
Halamek, L P     Kaegi, D M     eng     Pediatrics. 2001 Feb;107(2):249-55. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong population"
24200726,Global child health education in Canadian paediatric residency programs,2013,1,1,Educ Health (Abingdon),1357-6283,26,2,73-7,"Audcent, T. A. and MacDonnell, H. and Samson, L. and Brenner, J. L.",,eng,,,"CONTEXT: Globalisation has led to significant changes in health care, yet medical education remains domestically focused. The majority of the world's children live in developing countries, and education related to global child health is important for paediatric residents. METHODS: Chief residents and program directors from the 16 Canadian paediatric training programs were surveyed using a questionnaire regarding global child health training program content, electives, attitudes and perceptions towards global child health. RESULTS: No programs had a formalised global health curriculum. All program directors and chief residents reported that programs offer global child health sessions, but 50% of the programs did not address six out of twelve of the content areas including topics such as refugee health and international adoption. All program directors agreed global child health understanding is important for paediatric trainees; 83% agreed more emphasis should be placed on this during post-graduate training. DISCUSSION: A formalised global child health curriculum is lacking for Canadian paediatric residents: Program directors are willing to integrate global child health training modules into their post-graduate training programs.","1469-5804     Audcent, Tobey Ann     MacDonnell, Heather     Samson, Lindy     Brenner, Jennifer L     Journal Article     India     Educ Health (Abingdon). 2013 May-Aug;26(2):73-7. doi: 10.4103/1357-6283.120693.
Audcent, Tobey Ann     MacDonnell, Heather     Samson, Lindy     Brenner, Jennifer L     eng     India     Educ Health (Abingdon). 2013 May-Aug;26(2):73-7. doi: 10.4103/1357-6283.120693.
Audcent, Tobey Ann     MacDonnell, Heather     Samson, Lindy     Brenner, Jennifer L     eng     India     Educ Health (Abingdon). 2013 May-Aug;26(2):73-7. doi: 10.4103/1357-6283.120693.
Audcent, Tobey Ann     MacDonnell, Heather     Samson, Lindy     Brenner, Jennifer L     eng     India     Educ Health (Abingdon). 2013 May-Aug;26(2):73-7. doi: 10.4103/1357-6283.120693.
1469-5804     Audcent, Tobey Ann     MacDonnell, Heather     Samson, Lindy     Brenner, Jennifer L     Journal Article     India     Educ Health (Abingdon). 2013 May-Aug;26(2):73-7. doi: 10.4103/1357-6283.120693. RAYYAN-INCLUSION: {""Lindsay""=>true}"
23294604,Resident comfort level after receiving child abuse training: a survey of pediatric chief residents,2013,1,1,Child Abuse Negl,0145-2134,37,7,489-91,"Dara, J. S. and Kotlar, E. Y. and Leekoff, M. L. and Tran, X. G. and McColgan, M. D. and Giardino, A. P.",,eng,,,,"1873-7757     Dara, Jasmeen S     Kotlar, Elon Y     Leekoff, Mark L     Tran, Xuan G     McColgan, Maria D     Giardino, Angelo P     Letter     England     Child Abuse Negl. 2013 Jul;37(7):489-91. doi: 10.1016/j.chiabu.2012.09.017. Epub 2013 Jan 5.
Dara, Jasmeen S     Kotlar, Elon Y     Leekoff, Mark L     Tran, Xuan G     McColgan, Maria D     Giardino, Angelo P     eng     Letter     England     Child Abuse Negl. 2013 Jul;37(7):489-91. doi: 10.1016/j.chiabu.2012.09.017. Epub 2013 Jan 5.
Dara, Jasmeen S     Kotlar, Elon Y     Leekoff, Mark L     Tran, Xuan G     McColgan, Maria D     Giardino, Angelo P     eng     Letter     England     Child Abuse Negl. 2013 Jul;37(7):489-91. doi: 10.1016/j.chiabu.2012.09.017. Epub 2013 Jan 5.
Dara, Jasmeen S     Kotlar, Elon Y     Leekoff, Mark L     Tran, Xuan G     McColgan, Maria D     Giardino, Angelo P     eng     Letter     England     Child Abuse Negl. 2013 Jul;37(7):489-91. doi: 10.1016/j.chiabu.2012.09.017. Epub 2013 Jan 5. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong outcome"
21640494,2009 Canadian radiation oncology resident survey,2012,1,1,Int J Radiat Oncol Biol Phys,1879-355X (Electronic)     0360-3016 (Linking),82,4,1326-31,"Debenham, B. and Banerjee, R. and Fairchild, A. and Dundas, G. and Trotter, T. and Yee, D.",,eng,,,"PURPOSE: Statistics from the Canadian post-MD education registry show that numbers of Canadian radiation oncology (RO) trainees have risen from 62 in 1999 to approximately 150 per year between 2003 and 2009, contributing to the current perceived downturn in employment opportunities for radiation oncologists in Canada. When last surveyed in 2003, Canadian RO residents identified job availability as their main concern. Our objective was to survey current Canadian RO residents on their training and career plans. METHODS AND MATERIALS: Trainees from the 13 Canadian residency programs using the national matching service were sought. Potential respondents were identified through individual program directors or chief resident and were e-mailed a secure link to an online survey. Descriptive statistics were used to report responses. RESULTS: The eligible response rate was 53% (83/156). Similar to the 2003 survey, respondents generally expressed high satisfaction with their programs and specialty. The most frequently expressed perceived weakness in their training differed from 2003, with 46.5% of current respondents feeling unprepared to enter the job market. 72% plan on pursuing a postresidency fellowship. Most respondents intend to practice in Canada. Fewer than 20% of respondents believe that there is a strong demand for radiation oncologists in Canada. CONCLUSIONS: Respondents to the current survey expressed significant satisfaction with their career choice and training program. However, differences exist compared with the 2003 survey, including the current perceived lack of demand for radiation oncologists in Canada.","1879-355x     Debenham, Brock     Banerjee, Robyn     Fairchild, Alysa     Dundas, George     Trotter, Theresa     Yee, Don     Journal Article     United States     Int J Radiat Oncol Biol Phys. 2012 Mar 15;82(4):1326-31. doi: 10.1016/j.ijrobp.2011.04.030. Epub 2011 Jun 2.
Debenham, Brock     Banerjee, Robyn     Fairchild, Alysa     Dundas, George     Trotter, Theresa     Yee, Don     eng     Int J Radiat Oncol Biol Phys. 2012 Mar 15;82(4):1326-31. doi: 10.1016/j.ijrobp.2011.04.030. Epub 2011 Jun 2.
Debenham, Brock     Banerjee, Robyn     Fairchild, Alysa     Dundas, George     Trotter, Theresa     Yee, Don     eng     Int J Radiat Oncol Biol Phys. 2012 Mar 15;82(4):1326-31. doi: 10.1016/j.ijrobp.2011.04.030. Epub 2011 Jun 2.
Debenham, Brock     Banerjee, Robyn     Fairchild, Alysa     Dundas, George     Trotter, Theresa     Yee, Don     eng     Int J Radiat Oncol Biol Phys. 2012 Mar 15;82(4):1326-31. doi: 10.1016/j.ijrobp.2011.04.030. Epub 2011 Jun 2. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong population"
20522614,Do pediatric chief residents recognize details of prepubertal male genital anatomy,2010,1,1,Clin Pediatr (Phila),0009-9228 (Print) 0009-9228,49,8,756-9,"Donaruma-Kwoh, M. M. and Tran, X. G. and Giardino, A. P.",,eng,,,"This study evaluates how well pediatric chief residents can label anatomic structures, recognize circumcision, and discern abnormal anatomy on three photographs of male pre-pubertal genitalia. Additionally, this study explored aspects of pediatric training in sexual abuse and clinical practice issues regarding routine genital examination of a male patient. We asked respondents to identify anatomic structures, recognize circumcision, and assign a Tanner stage to pre-pubertal male genitalia and to recognize an abnormal finding. 92.7% of chief residents were able to correctly identify basic structures on the photo of a circumcised pre-pubertal male. Only 22% correctly recognized the abnormal example as hypospadias. Basic recognition of anatomic structures and circumcision did not achieve 100% accuracy, while an abnormal condition was missed by the majority of respondents. These data suggest a need to address education about the male genital exam in greater detail during pediatric residency training.","1938-2707     Donaruma-Kwoh, Marcella M     Tran, Xuan G     Giardino, Angelo P     Journal Article     United States     Clin Pediatr (Phila). 2010 Aug;49(8):756-9. doi: 10.1177/0009922810365726. Epub 2010 Jun 3.
Donaruma-Kwoh, Marcella M     Tran, Xuan G     Giardino, Angelo P     eng     Clin Pediatr (Phila). 2010 Aug;49(8):756-9. doi: 10.1177/0009922810365726. Epub 2010 Jun 3.
Donaruma-Kwoh, Marcella M     Tran, Xuan G     Giardino, Angelo P     eng     Clin Pediatr (Phila). 2010 Aug;49(8):756-9. doi: 10.1177/0009922810365726. Epub 2010 Jun 3.
Donaruma-Kwoh, Marcella M     Tran, Xuan G     Giardino, Angelo P     eng     Clin Pediatr (Phila). 2010 Aug;49(8):756-9. doi: 10.1177/0009922810365726. Epub 2010 Jun 3. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong outcome"
"",What is the extent of family planning training in family medicine residencies?,2009,1,1,Contraception,,80,2,223,"Gold, M. and Dalby, J. and Query, C. and Fletcher, J. and Herbitter, C. and Greenberg, M.",http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L70348527     http://resolver.library.northwestern.edu/nwu?sid=EMBASE&issn=00107824&id=doi:&atitle=What+is+the+extent+of+family+planning+training+in+family+medicine+residencies%3F&stitle=Contraception&title=Contraception&volume=80&issue=2&spage=223&epage=&aulast=Dalby&aufirst=J.&auinit=J.&aufull=Dalby+J.&coden=&isbn=&pages=223-&date=2009&auinit1=J&auinitm=,,,,"Objectives: In 1997, Steinauer et al. found that a minority of family medicine residents received adequate training in contraception and early abortion. Recent studies demonstrate that most family doctors are not providing the full range of contraception options or early abortions. This new study was designed to describe the current training in family medicine, and whether new contraceptive methods and medication abortion are included. Method: Program directors (PD) and chief residents (CR) at 454 US family medicine residency programs were emailed a link to an online quantitative survey adapted from the original Steinauer study. Nonresponders were mailed paper surveys and telephone reminders were made. 220 PDs and 98 CRs responded, representing 54% of all surveyed programs. Data were analyzed using SPSS and Excel. Results: Family planning: CRs reported receiving clinical training as follows: OCPs 100%; DMPA 92%; hormonal IUD 78%; emergency contraception 75%; copper IUD 71%; tubal ligation 60%; hormonal implant 20%. Abortion: PDs indicated abortion training is routine at 7% of family residency programs and optional at 42%. 32% of PDs reported that residents receive clinical training in medication abortion; 23% report that residents receive some aspiration abortion training. CRs' clinical experience with at least one abortion method more than doubled since the 1997 study. Conclusions: Abortion training in family medicine residencies has increased since 1997, and all residents receive some training in contraception. Nonetheless, training in abortion and the complete range of contraception options must be increased to prepare family physicians to provide full-spectrum reproductive health care.","
L70348527     2011-03-01
L70348527     2011-03-01
L70348527     2011-03-01
L70348527     2011-03-01 RAYYAN-INCLUSION: {""Lindsay""=>true}"
20457420,Cardiac imaging training in radiology residency programs: a survey of radiology chief residents,2010,1,1,Acad Radiol,1076-6332 (Print) 1076-6332,17,6,795-8,"Minocha, J. and Yaghmai, V. and Hammond, N. and Pyrros, A. T. and Nikolaidis, P.",,eng,,,"RATIONALE AND OBJECTIVES: Comprehensive training in cardiac imaging during radiology residency is imperative if radiologists are to maintain a significant role in this rapidly growing field. In this study, radiology chief residents were surveyed to assess the current status of cardiac imaging training in radiology residency programs. The responses to this survey may be helpful in understanding current trends in cardiac imaging training and how such training can be improved in the future. MATERIALS AND METHODS: Chief residents at accredited radiology residency programs were sent an e-mail with a link to a 17-question Web-based survey. The survey assessed the organization of cardiac imaging training in each residency program, imaging modalities incorporated into cardiac imaging training, the role of residents on cardiac imaging rotations, and attitudes of residents about their cardiac imaging training and the future of cardiac imaging. RESULTS: Responses were obtained from 52 of 112 (46%) programs. Seventy-one percent had at least one dedicated cardiac imaging rotation during their residencies. Fifty-two percent and 62% of respondents reported <5 hours of cardiac imaging-related case conferences and didactic lectures per year, respectively. Most had cardiac computed tomography or magnetic resonance imaging incorporated into their cardiac imaging training. Although 92% felt that cardiac imaging training is important, only 17% felt that they currently received adequate training in cardiac imaging. CONCLUSIONS: The majority of residency programs represented in this survey had at least one dedicated cardiac imaging rotation for their residents. Most of these programs had few cardiac imaging-related conferences and lectures per year. Although most chief residents believed that cardiac imaging training is important, only a minority felt that they currently received adequate training in cardiac imaging.","1878-4046     Minocha, Jeet     Yaghmai, Vahid     Hammond, Nancy     Pyrros, Ayis T     Nikolaidis, Paul     Journal Article     United States     Acad Radiol. 2010 Jun;17(6):795-8. doi: 10.1016/j.acra.2010.02.002.
Minocha, Jeet     Yaghmai, Vahid     Hammond, Nancy     Pyrros, Ayis T     Nikolaidis, Paul     eng     Acad Radiol. 2010 Jun;17(6):795-8. doi: 10.1016/j.acra.2010.02.002.
Minocha, Jeet     Yaghmai, Vahid     Hammond, Nancy     Pyrros, Ayis T     Nikolaidis, Paul     eng     Acad Radiol. 2010 Jun;17(6):795-8. doi: 10.1016/j.acra.2010.02.002.
Minocha, Jeet     Yaghmai, Vahid     Hammond, Nancy     Pyrros, Ayis T     Nikolaidis, Paul     eng     Acad Radiol. 2010 Jun;17(6):795-8. doi: 10.1016/j.acra.2010.02.002. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong outcome"
26744115,Perceptions Revisited: Pediatric Chief Resident views on Minority Housestaff Recruitment and Retention in Pediatric Residency Programs,2014,1,1,J Natl Med Assoc,0027-9684 (Print) 0027-9684,106,1,58-68,"Raphael, J. L. and Giardino, A. P. and Harris, T. and Tran, X. G. and Yoon, J. and Phillips, J. L.",,eng,,,"PURPOSE: This study examined institutional strategies among pediatric residency programs for recruitment and retention of underrepresented minorities (URM) housestaff. PROCEDURES: A questionnaire developed by the authors in a 1992 study was modified and then mailed to 185 pediatric chief residents at non-military pediatric training programs in the United States. Descriptive statistics (means and frequency) were calculated for each question. There were three rounds of mailings and a telephone follow-up. MAIN FINDING: The response rate was 39% (n=73). Thirty-eight percent reported that URM housestaff recruitment and retention was a priority for their program directors, 37% reported that it was a priority for themselves, 25% reported it was a priority for the hospital administration, and 36% reported that they were not sure about the priority of URM housestaff recruitment and retention within their organization. Sixty-seven percent stated that their housestaff selection committees do not have defined recruitment goals, 6% indicated that their committees have specifically defined recruitment goals, and 27% were not sure. CONCLUSIONS: Despite numerous initiatives from government agencies, medical institutions, and institutions of higher education, a critical gap remains among institutions in their recruitment efforts for URM at the level of residency training. Our study suggests that pediatric chief residents may not be adequately educated or primed regarding the importance of recruitment and retention of URM. As individuals involved with both medical training and hospital hierarchy, they are uniquely positioned to influence and carry out program goals and objectives.","Raphael, Jean L     Giardino, Angelo P     Harris, Toi     Tran, Xuan G     Yoon, Jaennie     Phillips, James L     Journal Article     United States     J Natl Med Assoc. 2014 Summer;106(1):58-68. doi: 10.1016/S0027-9684(15)30071-7.
Raphael, Jean L     Giardino, Angelo P     Harris, Toi     Tran, Xuan G     Yoon, Jaennie     Phillips, James L     Journal Article     United States     J Natl Med Assoc. Summer 2014;106(1):58-68. doi: 10.1016/S0027-9684(15)30071-7.
Raphael, Jean L     Giardino, Angelo P     Harris, Toi     Tran, Xuan G     Yoon, Jaennie     Phillips, James L     eng     J Natl Med Assoc. Summer 2014;106(1):58-68. doi: 10.1016/S0027-9684(15)30071-7.
Raphael, Jean L     Giardino, Angelo P     Harris, Toi     Tran, Xuan G     Yoon, Jaennie     Phillips, James L     eng     J Natl Med Assoc. Summer 2014;106(1):58-68. doi: 10.1016/S0027-9684(15)30071-7.
Raphael, Jean L     Giardino, Angelo P     Harris, Toi     Tran, Xuan G     Yoon, Jaennie     Phillips, James L     eng     J Natl Med Assoc. Summer 2014;106(1):58-68. doi: 10.1016/S0027-9684(15)30071-7. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong outcome"
